id,taxonID,kingdom,phylum,class,order,family,genus,specificEpithet,scientificName,taxonRank,scientificNameAuthorship,taxonRemarks,threatStatus,establishmentMeans,scientificNameID,nameAccordingTo,vernacularName,taxonomicStatus,language,rightsHolder,bibliographicCitation,locality,countryCode,appendixCITES,occurrenceRemarks,
gbif.org/species/2477472,gbif.org/species/2477472,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Nothocercus,julius,Nothocercus julius,Especie,"(Bonaparte, 1854)",,LC,,,,,,,,,,,,,
gbif.org/species/2477473,gbif.org/species/2477473,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Nothocercus,bonapartei,Nothocercus bonapartei,Especie,"(G.R.Gray, 1867)",,LC,,,,,,,,,,,,,
gbif.org/species/2477622,gbif.org/species/2477622,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Tinamus,tao,Tinamus tao,Especie,"Temminck, 1815",,VU,,,,,,,,,,,,,
gbif.org/species/2477618,gbif.org/species/2477618,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Tinamus,osgoodi,Tinamus osgoodi,Especie,"Conover, 1949",,VU,,,,,,,,,,,,,
gbif.org/species/2477630,gbif.org/species/2477630,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Tinamus,major,Tinamus major,Especie,"(J.F.Gmelin, 1789)",,NT,,,,,,,,,,,,,
gbif.org/species/2477621,gbif.org/species/2477621,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Tinamus,guttatus,Tinamus guttatus,Especie,"Pelzeln, 1863",,NT,,,,,,,,,,,,,
gbif.org/species/2477528,gbif.org/species/2477528,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Crypturellus,berlepschi,Crypturellus berlepschi,Especie,"(Rothschild, 1897)",,LC,,,,,,,,,,,,,
gbif.org/species/2477533,gbif.org/species/2477533,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Crypturellus,cinereus,Crypturellus cinereus,Especie,"(J.F.Gmelin, 1789)",,LC,,,,,,,,,,,,,
gbif.org/species/2477507,gbif.org/species/2477507,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Crypturellus,soui,Crypturellus soui,Especie,"(Hermann, 1783)",,LC,,,,,,,,,,,,,
gbif.org/species/2477535,gbif.org/species/2477535,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Crypturellus,obsoletus,Crypturellus obsoletus,Especie,"(Temminck, 1815)",,LC,,,,,,,,,,,,,
gbif.org/species/2477560,gbif.org/species/2477560,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Crypturellus,undulatus,Crypturellus undulatus,Especie,"(Temminck, 1815)",,LC,,,,,,,,,,,,,
gbif.org/species/2477534,gbif.org/species/2477534,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Crypturellus,duidae,Crypturellus duidae,Especie,"J.T.Zimmer, 1938",,NT,,,,,,,,,,,,,
gbif.org/species/2477546,gbif.org/species/2477546,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Crypturellus,erythropus,Crypturellus erythropus,Especie,"(Pelzeln, 1863)",,LC,,,,,,,,,,,,,
gbif.org/species/2477557,gbif.org/species/2477557,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Crypturellus,kerriae,Crypturellus kerriae,Especie,"(Chapman, 1915)",,VU,,,,,,,,,,,,,
gbif.org/species/2477527,gbif.org/species/2477527,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Crypturellus,variegatus,Crypturellus variegatus,Especie,"(J.F.Gmelin, 1789)",,LC,,,,,,,,,,,,,
gbif.org/species/2477532,gbif.org/species/2477532,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Crypturellus,brevirostris,Crypturellus brevirostris,Especie,"(Pelzeln, 1863)",Probable por confirmar,LC,,,,,,,,,,,,,
gbif.org/species/2477570,gbif.org/species/2477570,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Crypturellus,casiquiare,Crypturellus casiquiare,Especie,"(Chapman, 1929)",,LC,,,,,,,,,,,,,
gbif.org/species/2477556,gbif.org/species/2477556,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Crypturellus,bartletti,Crypturellus bartletti,Especie,"(P.L.Sclater & Salvin, 1873)",Probable por confirmar,,,,,,,,,,,,,,
gbif.org/species/2477572,gbif.org/species/2477572,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Nothoprocta,curvirostris,Nothoprocta curvirostris,Especie,"P.L.Sclater & Salvin, 1873",,LC,,,,,,,,,,,,,
gbif.org/species/2497983,gbif.org/species/2497983,Animalia,Chordata,Aves,Anseriformes,Anhimidae,Anhima,cornuta,Anhima cornuta,Especie,"(Linnaeus, 1766)",,LC,,,,,,,,,,,,,
gbif.org/species/5959223,gbif.org/species/5959223,Animalia,Chordata,Aves,Anseriformes,Anhimidae,Chauna,chavaria,Chauna chavaria,Especie,"(Linnaeus, 1766)",,NT,,,,,,,,,,,,,
gbif.org/species/2498402,gbif.org/species/2498402,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,bicolor,Dendrocygna bicolor,Especie,"(Vieillot, 1816)",,LC,,,,,,,,,,,,,
gbif.org/species/2498396,gbif.org/species/2498396,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,viduata,Dendrocygna viduata,Especie,"(Linnaeus, 1766)",,LC,,,,,,,,,,,,,
gbif.org/species/2498393,gbif.org/species/2498393,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,autumnalis,Dendrocygna autumnalis,Especie,"(Linnaeus, 1758)",,LC,,,,,,,,,,,,,
gbif.org/species/7373023,gbif.org/species/7373023,Animalia,Chordata,Aves,Anseriformes,Anatidae,Oressochen,jubatus,Oressochen jubatus,Especie,,,NT,,,,,,,,,,,,,
gbif.org/species/9751099,gbif.org/species/9751099,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cairina,moschata,Cairina moschata,Especie,"(Linnaeus, 1758)",,LC,,,,,,,,,,,,,
gbif.org/species/2498003,gbif.org/species/2498003,Animalia,Chordata,Aves,Anseriformes,Anatidae,Sarkidiornis,sylvicola,Sarkidiornis sylvicola,Especie,"H.Ihering & R.Ihering, 1907",,LC,,,,,,,,,,,,,
gbif.org/species/2498411,gbif.org/species/2498411,Animalia,Chordata,Aves,Anseriformes,Anatidae,Amazonetta,brasiliensis,Amazonetta brasiliensis,Especie,"(Gmelin, 1789)",,LC,,,,,,,,,,,,,
gbif.org/species/2498275,gbif.org/species/2498275,Animalia,Chordata,Aves,Anseriformes,Anatidae,Merganetta,armata,Merganetta armata,Especie,"Gould, 1842",,LC,,,,,,,,,,,,,
gbif.org/species/8332393,gbif.org/species/8332393,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,clypeata,Spatula clypeata,Especie,"(Linnaeus, 1758)",,LC,,,,,,,,,,,,,
gbif.org/species/9422220,gbif.org/species/9422220,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,discors,Spatula discors,Especie,"(Linnaeus, 1766)",,LC,,,,,,,,,,,,,
gbif.org/species/9345027,gbif.org/species/9345027,Animalia,Chordata,Aves,Anseriformes,Anatidae,Spatula,cyanoptera,Spatula cyanoptera,Especie,"(Vieillot, 1816)",,LC,,,,,,,,,,,,,
gbif.org/species/2498155,gbif.org/species/2498155,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mareca,americana,Mareca americana,Especie,"(Gmelin, 1789)",,LC,,,,,,,,,,,,,
gbif.org/species/2498090,gbif.org/species/2498090,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,bahamensis,Anas bahamensis,Especie,"Linnaeus, 1758",,LC,,,,,,,,,,,,,
gbif.org/species/2498112,gbif.org/species/2498112,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,acuta,Anas acuta,Especie,"Linnaeus, 1758",,LC,,,,,,,,,,,,,
gbif.org/species/2498127,gbif.org/species/2498127,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,georgica,Anas georgica,Especie,"Gmelin, 1789",,LC,,,,,,,,,,,,,
gbif.org/species/8214667,gbif.org/species/8214667,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,crecca,Anas crecca,Especie,"Linnaeus, 1758",,LC,,,,,,,,,,,,,
gbif.org/species/2498068,gbif.org/species/2498068,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,andium,Anas andium,Especie,"(P.L.Sclater & Salvin, 1873)",,LC,,,,,,,,,,,,,
gbif.org/species/2498151,gbif.org/species/2498151,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,strepera,Anas strepera,Especie,"Linnaeus, 1758",,LC,,,,,,,,,,,,,
gbif.org/species/2498177,gbif.org/species/2498177,Animalia,Chordata,Aves,Anseriformes,Anatidae,Netta,erythrophthalma,Netta erythrophthalma,Especie,"(Wied-Neuwied, 1833)",,LC,,,,,,,,,,,,,
gbif.org/species/2498264,gbif.org/species/2498264,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,collaris,Aythya collaris,Especie,"(Donovan, 1809)",,LC,,,,,,,,,,,,,
gbif.org/species/2498257,gbif.org/species/2498257,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aythya,affinis,Aythya affinis,Especie,"(Eyton, 1838)",,LC,,,,,,,,,,,,,
gbif.org/species/2498250,gbif.org/species/2498250,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,americana,Melanitta americana,Especie,"(Swainson, 1832)",Probable por confirmar,NT,,,,,,,,,,,,,
gbif.org/species/2498375,gbif.org/species/2498375,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,serrator,Mergus serrator,Especie,"Linnaeus, 1758",,LC,,,,,,,,,,,,,
gbif.org/species/2498316,gbif.org/species/2498316,Animalia,Chordata,Aves,Anseriformes,Anatidae,Nomonyx,dominicus,Nomonyx dominicus,Especie,"(Linnaeus, 1766)",,LC,,,,,,,,,,,,,
gbif.org/species/2498305,gbif.org/species/2498305,Animalia,Chordata,Aves,Anseriformes,Anatidae,Oxyura,jamaicensis,Oxyura jamaicensis,Especie,"(Gmelin, 1789)",,LC,,,,,,,,,,,,,
gbif.org/species/2482183,gbif.org/species/2482183,Animalia,Chordata,Aves,Galliformes,Cracidae,Chamaepetes,goudotii,Chamaepetes goudotii,Especie,"(Lesson, 1828)",,LC,,,,,,,,,,,,,
gbif.org/species/2482208,gbif.org/species/2482208,Animalia,Chordata,Aves,Galliformes,Cracidae,Penelope,argyrotis,Penelope argyrotis,Especie,"(Bonaparte, 1856)",,LC,,,,,,,,,,,,,
gbif.org/species/2482216,gbif.org/species/2482216,Animalia,Chordata,Aves,Galliformes,Cracidae,Penelope,ortoni,Penelope ortoni,Especie,"Salvin, 1874",,EN,,,,,,,,,,,,,
gbif.org/species/2482198,gbif.org/species/2482198,Animalia,Chordata,Aves,Galliformes,Cracidae,Penelope,montagnii,Penelope montagnii,Especie,"(Bonaparte, 1856)",,LC,,,,,,,,,,,,,
gbif.org/species/9462558,gbif.org/species/9462558,Animalia,Chordata,Aves,Galliformes,Cracidae,Penelope,jacquacu,Penelope jacquacu,Especie,"Spix, 1825",,LC,,,,,,,,,,,,,
gbif.org/species/2482225,gbif.org/species/2482225,Animalia,Chordata,Aves,Galliformes,Cracidae,Penelope,purpurascens,Penelope purpurascens,Especie,"Wagler, 1830",,LC,,,,,,,,,,,,,
gbif.org/species/2482224,gbif.org/species/2482224,Animalia,Chordata,Aves,Galliformes,Cracidae,Penelope,perspicax,Penelope perspicax,Especie,"Bangs, 1911",,EN,Endémica,,,,,,,,,,,,
gbif.org/species/2482310,gbif.org/species/2482310,Animalia,Chordata,Aves,Galliformes,Cracidae,Pipile,cumanensis,Pipile cumanensis,Especie,"(Jacquin, 1784)",,LC,,,,,,,,,,,,,
gbif.org/species/2482313,gbif.org/species/2482313,Animalia,Chordata,Aves,Galliformes,Cracidae,Aburria,aburri,Aburria aburri,Especie,"(Lesson, 1828)",,NT,,,,,,,,,,,,,
gbif.org/species/5229450,gbif.org/species/5229450,Animalia,Chordata,Aves,Galliformes,Cracidae,Ortalis,cinereiceps,Ortalis cinereiceps,Especie,"G.R.Gray, 1867",,LC,,,,,,,,,,,,,
gbif.org/species/5229446,gbif.org/species/5229446,Animalia,Chordata,Aves,Galliformes,Cracidae,Ortalis,garrula,Ortalis garrula,Especie,"(Humboldt, 1805)",,LC,Endémica,,,,,,,,,,,,
gbif.org/species/5229447,gbif.org/species/5229447,Animalia,Chordata,Aves,Galliformes,Cracidae,Ortalis,ruficauda,Ortalis ruficauda,Especie,"Jardine, 1847",,LC,,,,,,,,,,,,,
